id,label,node_kind,in_colorectal_tree,category,research_axis,semantic_types,depth_from_root,active,concept_status,umls_cui,icd_o_3_code,definition,aliases,alias_count,nci_url
C162152,Advanced Colon Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,Colon adenocarcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Colon Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162152
C167238,Advanced Colon Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Colon carcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Colon Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C167238
C166257,Advanced Colorectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Colorectal adenocarcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Colorectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C166257
C162475,Advanced Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,Colorectal carcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Colorectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162475
C142868,Advanced Microsatellite Stable Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,A microsatellite stable carcinoma that arises from the colon or rectum and has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Microsatellite Stable Colorectal Cancer|Advanced Microsatellite Stable Colorectal Carcinoma,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C142868
C175363,Advanced Rectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,Rectal adenocarcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Rectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C175363
C170777,Advanced Rectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Rectal carcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Rectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170777
C170780,Advanced Rectal Squamous Cell Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,A rectal squamous cell carcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,Advanced Rectal Squamous Cell Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170780
C36309,Colon Carcinoma Metastatic in the Liver,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,C1333085,,A carcinoma that originates from the colonic wall and has spread to the liver.,Colon Carcinoma Metastatic in the Liver|Colon Carcinoma Metastatic to the Liver,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36309
C89815,Colon Carcinoma Metastatic in the Lung,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,C2983137,,A carcinoma that originates from the colonic wall and has spread to the lungs.,Colon Carcinoma Metastatic in the Lung|Colon Carcinoma Metastatic to the Lung,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C89815
C157355,Colorectal Adenocarcinoma Metastatic in the Liver,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,An adenocarcinoma that originates from the colorectal area and has spread to the liver.,Colorectal Adenocarcinoma Metastatic in the Liver,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C157355
C157366,Colorectal Carcinoma Metastatic in the Liver,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,A carcinoma that originates from the colorectal area and has spread to the liver.,Colorectal Carcinoma Metastatic in the Liver,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C157366
C153224,Colorectal Carcinoma Metastatic in the Lung,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,A carcinoma that originates from the wall of the colon or rectum and has spread to the lungs.,Colorectal Carcinoma Metastatic in the Lung|Metastatic Colorectal Cancer in the Lung,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C153224
C220570,Localized Colon Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Colon adenocarcinoma that is confined to the site in which it initially manifested without evidence of spread to other anatomic sites.,Localized Colon Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220570
C220569,Localized Colon Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,Colon carcinoma that is confined to the site in which it initially manifested without evidence of spread to other anatomic sites.,Localized Colon Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220569
C212894,Localized Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,1,True,DEFAULT,,,Colorectal carcinoma that is confined to the site in which it initially manifested without evidence of spread to other anatomic sites.,Localized Colorectal Cancer|Localized Colorectal Carcinoma|Non-Metastatic Colorectal Carcinoma,3,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C212894
C213456,Localized Rectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Rectal adenocarcinoma that is confined to the site in which it initially manifested without evidence of spread to other anatomic sites.,Localized Rectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213456
C220571,Localized Rectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,Rectal carcinoma that is confined to the site in which it initially manifested without evidence of spread to other anatomic sites.,Localized Rectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220571
C190415,Locally Advanced Colon Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,Colon adenocarcinoma that has spread from its original site of growth to nearby tissues or lymph nodes.,Locally Advanced Colon Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190415
C170910,Locally Advanced Colon Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Colon carcinoma that has spread to nearby tissues or lymph nodes.,Locally Advanced Colon Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170910
C190413,Locally Advanced Colorectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Colorectal adenocarcinoma that has spread from its original site of growth to nearby tissues or lymph nodes.,Locally Advanced Colorectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190413
C162766,Locally Advanced Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,A colorectal carcinoma that has spread from its original site of growth to nearby tissues or lymph nodes.,Locally Advanced Colorectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162766
C178269,Locally Advanced Microsatellite Stable Colon Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,A microsatellite stable colon carcinoma that has spread from its original site of growth to nearby tissues or lymph nodes.,Locally Advanced Microsatellite Stable Colon Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C178269
C156745,Locally Advanced Microsatellite Stable Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,A microsatellite stable colorectal carcinoma that has spread from its original site of growth to nearby tissues or lymph nodes.,Locally Advanced Microsatellite Stable Colorectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156745
C174122,Locally Advanced Rectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,Rectal adenocarcinoma that has spread from its original site of growth to nearby tissues or lymph nodes.,Locally Advanced Rectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C174122
C170778,Locally Advanced Rectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,Rectal carcinoma that has spread to nearby tissues or lymph nodes.,Locally Advanced Rectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170778
C170781,Locally Advanced Rectal Squamous Cell Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,Rectal squamous cell carcinoma that has spread to nearby tissues or lymph nodes.,Locally Advanced Rectal Squamous Cell Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170781
C162271,Locally Advanced Unresectable Colon Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,5,True,DEFAULT,,,A colon adenocarcinoma that has spread from its original site of growth to nearby tissues or lymph nodes and is not amenable to surgical resection.,Locally Advanced Unresectable Colon Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162271
C162270,Locally Advanced Unresectable Colorectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,A colorectal adenocarcinoma that has spread from its original site of growth to nearby tissues or lymph nodes and is not amenable to surgical resection.,Locally Advanced Unresectable Colorectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162270
C215683,Locally Advanced Unresectable Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,A colorectal carcinoma that has spread from its original site of growth to nearby tissues or lymph nodes and is not amenable to surgical resection.,Locally Advanced Unresectable Colorectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C215683
C162272,Locally Advanced Unresectable Rectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,5,True,DEFAULT,,,A rectal adenocarcinoma that has spread from its original site of growth to nearby tissues or lymph nodes and is not amenable to surgical resection.,Locally Advanced Unresectable Rectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162272
C190199,Locally Recurrent Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,"The reemergence of colorectal carcinoma after a period of remission, at or adjacent to the site of the original tumor.",Locally Recurrent Colorectal Carcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190199
C223142,Locally Recurrent Rectal Adenocarcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,4,True,DEFAULT,,,"The reemergence of rectal adenocarcinoma after a period of remission, at or adjacent to the site of the original tumor.",Locally Recurrent Rectal Adenocarcinoma,1,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C223142
C209992,Locally Recurrent Rectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,3,True,DEFAULT,,,"The reemergence of rectal carcinoma after a period of remission, at or adjacent to the site of the original tumor.",Locally Recurrent Cancer of the Rectum|Locally Recurrent Rectal Cancer|Locally Recurrent Rectal Carcinoma,3,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C209992
C209752,Metastatic Childhood Colorectal Carcinoma,Concept,Y,Clinical Course,Clinical stage/course,Neoplastic Process,2,True,DEFAULT,,,Metastatic colorectal carcinoma that occurs during childhood.,Childhood Metastatic Colorectal Carcinoma|Metastatic Childhood Colorectal Carcinoma,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C209752
