code,name,root_code,root_name,depth_from_root,leaf,active,concept_status,semantic_types,neoplastic_status,umls_cui,icd_o_3_code,legacy_concept_name,definitions,synonym_count,parent_codes,parent_names,child_codes,nci_url
C2955,Colorectal Carcinoma,C2955,Colorectal Carcinoma,0,False,True,DEFAULT,Neoplastic Process,Malignant,C0009402,,Colorectal_Carcinoma,A malignant epithelial neoplasm that arises from the colon or rectum and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas. | Cancer that develops in the colon (the longest part of the large intestine) and/or the rectum (the last several inches of the large intestine before the anus).,13,C96963|C4978,Digestive System Carcinoma|Malignant Colorectal Neoplasm,C118808|C4910|C5105|C43589|C90506|C91223|C134180|C226293|C96158|C96156|C96494|C43588|C43591|C205290|C162256|C212894|C156096|C173324|C218464|C9382|C7421|C8625|C147982|C162257|C162600,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C2955
C118808,Childhood Colorectal Carcinoma,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,C3899669,,,A colorectal carcinoma occurring during childhood. | A rare colorectal carcinoma that occurs during childhood.,5,C190275|C213152|C2955,Childhood Carcinoma|Childhood Malignant Intestinal Neoplasm|Colorectal Carcinoma,C118823|C209752,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C118808
C4910,Colon Carcinoma,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,C0699790,,Colon_Carcinoma,A malignant epithelial neoplasm that arises from the colon and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas. | Cancer that forms in the tissues of the colon (the longest part of the large intestine). Most colon cancers are adenocarcinomas (cancers that begin in cells that make and release mucus and other fluids).,15,C2955|C9242,Colorectal Carcinoma|Malignant Colon Neoplasm,C4349|C5491|C90507|C91224|C134251|C226294|C203384|C5490|C7100|C202634|C214793|C164228|C220569|C156097|C177777|C202633|C3998|C153351|C167237|C180406,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4910
C5105,Colorectal Adenocarcinoma,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,C1319315,,Colorectal_Adenocarcinoma,"The most common type of colorectal carcinoma.  It is characterized by the presence of malignant glandular epithelial cells invading through the muscularis mucosa into the submucosa.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.",5,C2955|C210140,Colorectal Carcinoma|Digestive System Adenocarcinoma,C4349|C172699|C96488|C213111|C213479|C43590|C96491|C9447|C43585|C172694|C9448|C96485|C9446|C172700|C161048|C9383|C43584|C162441|C162154|C212100|C171585,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5105
C43589,Colorectal Adenosquamous Carcinoma,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,C1707437,,Colorectal_Adenosquamous_Carcinoma,An unusual colorectal carcinoma characterized by the presence of adenocarcinoma and squamous cell carcinoma components.,4,C2955|C226527,Colorectal Carcinoma|Digestive System Adenosquamous Carcinoma,C5491|C43594,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43589
C90506,Colorectal Cancer by AJCC v6 Stage,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,C2983705,,,"A term that refers to the staging of colorectal carcinoma according to the American Joint Committee on Cancer, 6th edition.",3,C2955,Colorectal Carcinoma,C90507|C90508|C90509|C8932|C8513|C8514|C8515|C8516,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90506
C91223,Colorectal Cancer by AJCC v7 Stage,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,C2984087,,,"A term that refers to the staging of colorectal carcinoma according to the American Joint Committee on Cancer, 7th edition.",3,C2955,Colorectal Carcinoma,C91224|C91225|C91226|C8932|C8513|C89989|C89994|C89998,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C91223
C134180,Colorectal Cancer by AJCC v8 Stage,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,,,,"A term that refers to the staging of colorectal cancer according to the American Joint Committee on Cancer, 8th edition. This staging system applies to adenocarcinomas, high-grade neuroendocrine carcinomas, and squamous cell carcinomas of the colon and rectum. Appendiceal carcinomas, anal carcinomas, and well-differentiated neuroendocrine tumors (carcinoids) are not covered by this staging system. (from AJCC 8th Ed.)",3,C2955,Colorectal Carcinoma,C134251|C134258|C134182|C134185|C134186|C134191|C134195,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C134180
C226293,Colorectal Carcinoma In Situ,C2955,Colorectal Carcinoma,1,False,True,DEFAULT,Neoplastic Process,Malignant,,,,An intraepithelial carcinoma arising from the colon or rectum without evidence of invasion.,2,C2955|C35180,Colorectal Carcinoma|Digestive System Carcinoma In Situ,C226294|C226295|C226296,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226293
C96158,Colorectal Mixed Adenoneuroendocrine Carcinoma,C2955,Colorectal Carcinoma,1,True,True,DEFAULT,Neoplastic Process,Malignant,C3272609,,,A carcinoma that arises from the colon or rectum and is characterized by the presence of a malignant glandular epithelial component and a malignant neuroendocrine component.  At least 30 percent of either component should be present for the diagnosis to be made.,5,C2955|C95406,Colorectal Carcinoma|Digestive System Mixed Adenoneuroendocrine Carcinoma,,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96158
