source_code,source_name,relation_code,relation_type,target_code,target_name,relation_group,direction
C17567,APC Gene,R175,Gene_Involved_In_Pathogenesis_Of_Disease,C2955,Colorectal Carcinoma,role,in
C52458,APC wt Allele,R175,Gene_Involved_In_Pathogenesis_Of_Disease,C2955,Colorectal Carcinoma,role,in
C20763,AXIN2 Gene,R38,Gene_Associated_With_Disease,C2955,Colorectal Carcinoma,role,in
C52464,AXIN2 wt Allele,R38,Gene_Associated_With_Disease,C2955,Colorectal Carcinoma,role,in
C220627,AXIN2-Associated Polyposis,R116,Disease_May_Have_Associated_Disease,C2955,Colorectal Carcinoma,role,in
C61059,Adenine DNA Glycosylase,R48,Gene_Product_Malfunction_Associated_With_Disease,C2955,Colorectal Carcinoma,role,in
C7676,Adenocarcinoma in Adenomatous Polyp,is_parent_of,is_parent_of,C213378,Adenocarcinoma in Colon Adenomatous Polyp,hierarchy,parent_to_child
C7676,Adenocarcinoma in Adenomatous Polyp,is_parent_of,is_parent_of,C213379,Adenocarcinoma in Rectal Adenomatous Polyp,hierarchy,parent_to_child
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R139,Disease_Excludes_Abnormal_Cell,C36771,Malignant Squamous Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R139,Disease_Excludes_Abnormal_Cell,C37153,Malignant Stromal Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R139,Disease_Excludes_Abnormal_Cell,C36937,Neoplastic Smooth Muscle Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R139,Disease_Excludes_Abnormal_Cell,C36760,Neoplastic Squamous Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R142,Disease_Excludes_Finding,C36122,Benign Cellular Infiltrate,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R142,Disease_Excludes_Finding,C155862,Intermediate Grade Neuroendocrine Lesion,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R142,Disease_Excludes_Finding,C155864,Low Grade Neuroendocrine Lesion,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R142,Disease_Excludes_Finding,C62273,Mixed Neoplastic Glandular and Squamous Cell Population,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R142,Disease_Excludes_Finding,C155861,Well Differentiated Neuroendocrine Lesion,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R105,Disease_Has_Abnormal_Cell,C36773,Adenocarcinoma Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R105,Disease_Has_Abnormal_Cell,C12917,Malignant Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R105,Disease_Has_Abnormal_Cell,C36779,Malignant Epithelial Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R105,Disease_Has_Abnormal_Cell,C12922,Neoplastic Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R105,Disease_Has_Abnormal_Cell,C36753,Neoplastic Epithelial Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R105,Disease_Has_Abnormal_Cell,C36763,Neoplastic Glandular Cell,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R100,Disease_Has_Associated_Anatomic_Site,C12382,Colon,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R100,Disease_Has_Associated_Anatomic_Site,C54189,Colorectal Region,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R100,Disease_Has_Associated_Anatomic_Site,C12378,Digestive System,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R100,Disease_Has_Associated_Anatomic_Site,C12736,Intestine,role,out
C213378,Adenocarcinoma in Colon Adenomatous Polyp,R100,Disease_Has_Associated_Anatomic_Site,C12379,Large Intestine,role,out
