code,name,active,concept_status,semantic_types,umls_cui,relation_types,relation_groups,definitions,synonym_count,nci_url
C90529,AJCC v6 Stage,True,DEFAULT,Classification,C2983725,Disease_Is_Stage,role,A cancer stage defined according to the AJCC 6th edition criteria.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90529
C90530,AJCC v7 Stage,True,DEFAULT,Classification,C2983726,Disease_Is_Stage,role,A cancer stage defined according to the AJCC 7th edition criteria.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90530
C132248,AJCC v8 Stage,True,DEFAULT,Classification,,Disease_Is_Stage,role,A cancer stage defined according to the AJCC 8th edition criteria.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C132248
C17567,APC Gene,True,DEFAULT,Gene or Genome,C0162832,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,This gene plays a role in signal transduction. It is involved in both adhesion and migration of cells.,10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C17567
C52458,APC wt Allele,True,DEFAULT,Gene or Genome,C1705766,Gene_Involved_In_Pathogenesis_Of_Disease,role,"Human APC wild-type allele is located within 5q21-q22 and is approximately 108 kb in length. This allele, which encodes adenomatosis polyposis coli protein, is involved in the progression of Wnt protein mediated signaling. Mutations in this gene are associated with familial adenomatous polyposis, an autosomal dominant pre-malignant disease that usually progresses to malignancy.",16,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C52458
C20763,AXIN2 Gene,True,DEFAULT,Gene or Genome,C1332126,Gene_Associated_With_Disease,role,This gene is involved in signal transduction and plays a role in development.,9,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C20763
C52464,AXIN2 wt Allele,True,DEFAULT,Gene or Genome,C1705716,Gene_Associated_With_Disease,role,"Human AXIN2 wild-type allele is located within 17q23-q24 and is approximately 33 kb in length. This allele, which encodes axin-2 protein, plays a role in the inhibition of the Wnt protein signaling pathway.",12,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C52464
C220627,AXIN2-Associated Polyposis,True,DEFAULT,Disease or Syndrome,C1837750,Disease_May_Have_Associated_Disease,role,A rare autosomal dominant syndrome caused by constitutional (germline) loss-of-function variants in AXIN2 gene. It is characterized by the presence of multiple colorectal adenomatous polyps and an increased risk of colorectal carcinoma. Oligodontia and ectodermal dysplasia may or may not be present.,4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220627
C26682,Abdominal Pain,True,DEFAULT,Sign or Symptom,C3553274,Disease_May_Have_Finding,role,A disorder characterized by a sensation of marked discomfort in the abdominal region. | Discomfort in the central region of the body located between the chest and the groin. | Painful sensation in the abdominal region. | The sensation of discomfort in the abdominal region.,8,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C26682
C45659,Absence of Invasion,True,DEFAULT,Finding,C1706685,Disease_Has_Finding,role,A finding indicating the absence of invasion in a sample.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C45659
C61059,Adenine DNA Glycosylase,True,DEFAULT,"Amino Acid, Peptide, or Protein|Enzyme",C1879506,Gene_Product_Malfunction_Associated_With_Disease,role,"Adenine DNA glycosylase protein (546 aa, ~60 kDa) is encoded by the human MUTYH gene. This nuclear enzyme plays a role in mismatch repair via the removal of mutagenic adenine/8-oxo-guanine.",11,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C61059
C36773,Adenocarcinoma Cell,True,DEFAULT,Cell,C1510779,Disease_Has_Abnormal_Cell,role,,3,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36773
C37117,Adenocarcinoma Cell with Intracytoplasmic Mucin,True,DEFAULT,Cell,C1513713,Disease_Has_Abnormal_Cell,role,,3,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C37117
C7676,Adenocarcinoma in Adenomatous Polyp,True,DEFAULT,Neoplastic Process,C1321861,is_parent_of,hierarchy,An adenocarcinoma that arises from an adenomatous polyp.,4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7676
C3764,Adenomatous Polyp,True,DEFAULT,Neoplastic Process,C0206677,Disease_Has_Associated_Disease,role,A polypoid neoplasm that arises from the glandular epithelium of the gastrointestinal tract. There is a proliferation of glandular cells that may display dysplastic cytologic features. Representative examples include the adenomatous polyps of the colon and rectum.,9,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3764
C159556,Advanced Adenocarcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,An adenocarcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C159556
C156746,Advanced Digestive System Carcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,Digestive system carcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156746
C162653,Advanced Squamous Cell Carcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,A squamous cell carcinoma that has spread extensively to other anatomic sites or is no longer responding to treatment.,4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162653
C36104,Aggressive Clinical Course,True,DEFAULT,Finding,C1332223,Disease_May_Have_Finding,role,A finding indicating that a disease has an aggressive clinical outcome.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36104
C7477,Anal Canal Paget Disease,True,DEFAULT,Neoplastic Process,C1332261,Disease_May_Have_Associated_Disease,role,Paget disease involving the squamous epithelium of the anal canal.,6,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7477
C7476,Anal Margin Paget Disease,True,DEFAULT,Neoplastic Process,C1332270,Disease_May_Have_Associated_Disease,role,Paget disease involving the perianal skin.,6,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7476
C5598,Anal Paget Disease,True,DEFAULT,Neoplastic Process,C1332274,Disease_May_Have_Associated_Disease,role,"A slowly spreading, erythematous eczematoid plaque in the anal region.  Histologically, the basal part or whole thickness of the squamous epithelium is infiltrated by large cells with abundant pale cytoplasm and large nuclei.  Half of the cases are associated with an internal malignancy, most often a colorectal adenocarcinoma.  The other half of the cases, have a high local recurrence rate and they may become invasive (WHO).",6,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5598
C36113,Anaplastic Lesion,True,DEFAULT,Finding,C0002793,Disease_Has_Finding,role,"A morphologic finding indicating the presence of a malignant cellular infiltrate characterized by the presence of large pleomorphic cells, necrosis, and high mitotic activity in a tissue sample.",5,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36113
C186102,Anorectal Area,True,DEFAULT,"Body Part, Organ, or Organ Component",,Disease_Has_Associated_Anatomic_Site,role,"A subdivision of the digestive tract in humans that includes the rectum, the anal canal and the anus. | The distal portion of the gastrointestinal tract that includes the anal canal and rectum.",5,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C186102
C21574,Antigen Peptide Transporter 1,True,DEFAULT,"Amino Acid, Peptide, or Protein|Enzyme",C0140599,Gene_Product_Malfunction_Associated_With_Disease,role,"Antigen peptide transporter 1 (808 aa, ~87 kDa) is encoded by the human TAP1 gene. This protein plays a role in cytoplasmic antigen transport and subsequent presentation by MHC class I molecules.",17,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C21574
C6729,Attenuated Familial Adenomatous Polyposis,True,DEFAULT,Disease or Syndrome,C2674616,Disease_May_Have_Associated_Disease,role,"A rare genetic syndrome with an autosomal dominant pattern of inheritance. It was formerly called hereditary flat adenoma syndrome (HFAS) but is now recognized as an attenuated variant of familial adenomatous polyposis (FAP). It is most commonly associated with mutations in the APC gene specifically: exons 1-5, exon 9 and in the distal 3' terminus. Clinical presentation occurs in the middle decades and is characterized by the proximal development of multiple (but less than 100), non-polypoid colonic adenomas. Clinical progression to colorectal cancer may occur later in life but the risk is less than with classic FAP.",8,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C6729
C18324,BAX Gene,True,DEFAULT,Gene or Genome,C0812198,Gene_Associated_With_Disease,role,"This gene is involved in the regulation of apoptosis by binding p53 protein, which accelerates this mechanism of cell death.",7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C18324
