concept_code,concept_name,term,term_type,synonym_type,source,source_code,sub_source,relation_types_to_colorectal_tree,relation_groups_to_colorectal_tree,is_preferred_candidate
C90529,AJCC v6 Stage,AJCC v6 Stage,NAME,Concept_Name,NCIt,,,Disease_Is_Stage,role,Y
C90529,AJCC v6 Stage,AJCC v6 Stage,PT,FULL_SYN,NCI,,,Disease_Is_Stage,role,Y
C90529,AJCC v6 Stage,AJCC v6 Stage,,Preferred_Name,,,,Disease_Is_Stage,role,Y
C90530,AJCC v7 Stage,AJCC v7 Stage,NAME,Concept_Name,NCIt,,,Disease_Is_Stage,role,Y
C90530,AJCC v7 Stage,AJCC v7 Stage,PT,FULL_SYN,NCI,,,Disease_Is_Stage,role,Y
C90530,AJCC v7 Stage,AJCC v7 Stage,,Preferred_Name,,,,Disease_Is_Stage,role,Y
C132248,AJCC v8 Stage,AJCC v8 Stage,NAME,Concept_Name,NCIt,,,Disease_Is_Stage,role,Y
C132248,AJCC v8 Stage,AJCC v8 Stage,PT,FULL_SYN,NCI,,,Disease_Is_Stage,role,Y
C132248,AJCC v8 Stage,AJCC v8 Stage,,Preferred_Name,,,,Disease_Is_Stage,role,Y
C17567,APC Gene,APC,PT,FULL_SYN,CCPS,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC,PT,FULL_SYN,GDC,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC,PT,FULL_SYN,HGNC,HGNC:583,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC,SY,FULL_SYN,NCI,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C17567,APC Gene,APC Gene,NAME,Concept_Name,NCIt,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC Gene,SY,FULL_SYN,caDSR,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C17567,APC Gene,APC Gene,DN,FULL_SYN,CTRP,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C17567,APC Gene,APC Gene,PT,FULL_SYN,NCI,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC Gene,,Display_Name,,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC Gene,,Preferred_Name,,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C17567,APC Gene,APC Regulator of WNT Signaling Pathway Gene,SY,FULL_SYN,NCI,,,Disease_Mapped_To_Gene|Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,Adenomatosis Polyposis Coli Gene,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,APC Regulator of WNT Signaling Pathway wt Allele,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,APC wt Allele,NAME,Concept_Name,NCIt,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C52458,APC wt Allele,APC wt Allele,DN,FULL_SYN,CTRP,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,APC wt Allele,PT,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C52458,APC wt Allele,APC wt Allele,,Display_Name,,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C52458,APC wt Allele,APC wt Allele,,Preferred_Name,,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,Y
C52458,APC wt Allele,"APC, WNT Signaling Pathway Regulator Gene",SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,BTPS2,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,DP2,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,DP2.5,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,DP3,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,FAP,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,FPC,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,GS,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,PPP1R46,SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C52458,APC wt Allele,"Protein Phosphatase 1, Regulatory Subunit 46 Gene",SY,FULL_SYN,NCI,,,Gene_Involved_In_Pathogenesis_Of_Disease,role,N
C20763,AXIN2 Gene,Axin 2 Gene,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C20763,AXIN2 Gene,AXIN2,PT,FULL_SYN,GDC,,,Gene_Associated_With_Disease,role,Y
C20763,AXIN2 Gene,AXIN2,PT,FULL_SYN,HGNC,HGNC:904,,Gene_Associated_With_Disease,role,Y
C20763,AXIN2 Gene,AXIN2,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C20763,AXIN2 Gene,AXIN2 Gene,NAME,Concept_Name,NCIt,,,Gene_Associated_With_Disease,role,Y
C20763,AXIN2 Gene,AXIN2 Gene,SY,FULL_SYN,caDSR,,,Gene_Associated_With_Disease,role,N
C20763,AXIN2 Gene,AXIN2 Gene,DN,FULL_SYN,CTRP,,,Gene_Associated_With_Disease,role,N
C20763,AXIN2 Gene,AXIN2 Gene,PT,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,Y
C20763,AXIN2 Gene,AXIN2 Gene,,Display_Name,,,,Gene_Associated_With_Disease,role,Y
C20763,AXIN2 Gene,AXIN2 Gene,,Preferred_Name,,,,Gene_Associated_With_Disease,role,Y
C52464,AXIN2 wt Allele,AXIL,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,"Axin 2 (Conductin, Axil) Gene",SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,Axin 2 wt Allele,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,AXIN2 wt Allele,NAME,Concept_Name,NCIt,,,Gene_Associated_With_Disease,role,Y
C52464,AXIN2 wt Allele,AXIN2 wt Allele,DN,FULL_SYN,CTRP,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,AXIN2 wt Allele,PT,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,Y
C52464,AXIN2 wt Allele,AXIN2 wt Allele,,Display_Name,,,,Gene_Associated_With_Disease,role,Y
C52464,AXIN2 wt Allele,AXIN2 wt Allele,,Preferred_Name,,,,Gene_Associated_With_Disease,role,Y
C52464,AXIN2 wt Allele,AXIS Inhibitor 2 Gene,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,"Conductin, Mouse, Homolog of Gene",SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,DKFZp781B0869,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,MGC126582,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C52464,AXIN2 wt Allele,ODCRCS,SY,FULL_SYN,NCI,,,Gene_Associated_With_Disease,role,N
C220627,AXIN2-Associated Polyposis,AXIN2-Associated Polyposis,NAME,Concept_Name,NCIt,,,Disease_May_Have_Associated_Disease,role,Y
C220627,AXIN2-Associated Polyposis,AXIN2-Associated Polyposis,PT,FULL_SYN,NCI,,,Disease_May_Have_Associated_Disease,role,Y
C220627,AXIN2-Associated Polyposis,AXIN2-Associated Polyposis,,Preferred_Name,,,,Disease_May_Have_Associated_Disease,role,Y
C220627,AXIN2-Associated Polyposis,ODCRCS,AB,FULL_SYN,NCI,,,Disease_May_Have_Associated_Disease,role,N
C220627,AXIN2-Associated Polyposis,Oligodontia-Colorectal Cancer Syndrome,SY,FULL_SYN,NCI,,,Disease_May_Have_Associated_Disease,role,N
C26682,Abdominal Pain,Abdominal Pain,NAME,Concept_Name,NCIt,,,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal pain,PT,FULL_SYN,ACC/AHA,,PCC,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal Pain,SY,FULL_SYN,caDSR,,,Disease_May_Have_Finding,role,N
C26682,Abdominal Pain,Abdominal pain,PT,FULL_SYN,CTCAE,E10460,,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal Pain,PT,FULL_SYN,FDA,1685,CDRH,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal Pain,PT,FULL_SYN,NCI,,,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal Pain,PT,FULL_SYN,NICHD,,,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal Pain,,Preferred_Name,,,,Disease_May_Have_Finding,role,Y
C26682,Abdominal Pain,Abdominal_pain,PT,FULL_SYN,SeroNet,,,Disease_May_Have_Finding,role,Y
C45659,Absence of Invasion,Absence of Invasion,NAME,Concept_Name,NCIt,,,Disease_Has_Finding,role,Y
C45659,Absence of Invasion,Absence of Invasion,PT,FULL_SYN,NCI,,,Disease_Has_Finding,role,Y
C45659,Absence of Invasion,Absence of Invasion,,Preferred_Name,,,,Disease_Has_Finding,role,Y
C61059,Adenine DNA Glycosylase,A/G-Specific Adenine DNA Glycosylase,DN,FULL_SYN,CTRP,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,A/G-Specific Adenine DNA Glycosylase,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,A/G-Specific Adenine DNA Glycosylase,,Display_Name,,,,Gene_Product_Malfunction_Associated_With_Disease,role,Y
C61059,Adenine DNA Glycosylase,Adenine DNA Glycosylase,NAME,Concept_Name,NCIt,,,Gene_Product_Malfunction_Associated_With_Disease,role,Y
C61059,Adenine DNA Glycosylase,Adenine DNA Glycosylase,PT,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,Y
C61059,Adenine DNA Glycosylase,Adenine DNA Glycosylase,,Preferred_Name,,,,Gene_Product_Malfunction_Associated_With_Disease,role,Y
C61059,Adenine DNA Glycosylase,EC 3.2.2.31,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,hMYH,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,MutY Homolog,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,MutY-Like Protein,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,MUTYH,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C61059,Adenine DNA Glycosylase,MUTYH Protein,SY,FULL_SYN,NCI,,,Gene_Product_Malfunction_Associated_With_Disease,role,N
C36773,Adenocarcinoma Cell,Adenocarcinoma Cell,NAME,Concept_Name,NCIt,,,Disease_Has_Abnormal_Cell,role,Y
C36773,Adenocarcinoma Cell,Adenocarcinoma Cell,PT,FULL_SYN,NCI,,,Disease_Has_Abnormal_Cell,role,Y
C36773,Adenocarcinoma Cell,Adenocarcinoma Cell,,Preferred_Name,,,,Disease_Has_Abnormal_Cell,role,Y
C36773,Adenocarcinoma Cell,Malignant Glandular Cell,SY,FULL_SYN,NCI,,,Disease_Has_Abnormal_Cell,role,N
C37117,Adenocarcinoma Cell with Intracytoplasmic Mucin,Adenocarcinoma Cell with Intracytoplasmic Mucin,NAME,Concept_Name,NCIt,,,Disease_Has_Abnormal_Cell,role,Y
C37117,Adenocarcinoma Cell with Intracytoplasmic Mucin,Adenocarcinoma Cell with Intracytoplasmic Mucin,PT,FULL_SYN,NCI,,,Disease_Has_Abnormal_Cell,role,Y
C37117,Adenocarcinoma Cell with Intracytoplasmic Mucin,Adenocarcinoma Cell with Intracytoplasmic Mucin,,Preferred_Name,,,,Disease_Has_Abnormal_Cell,role,Y
