concept_code,concept_name,term,term_type,synonym_type,source,source_code,sub_source,is_preferred_candidate
C213378,Adenocarcinoma in Colon Adenomatous Polyp,Adenocarcinoma in Colon Adenomatous Polyp,NAME,Concept_Name,NCIt,,,Y
C213378,Adenocarcinoma in Colon Adenomatous Polyp,Adenocarcinoma in Colon Adenomatous Polyp,PT,FULL_SYN,NCI,,,Y
C213378,Adenocarcinoma in Colon Adenomatous Polyp,Adenocarcinoma in Colon Adenomatous Polyp,,Preferred_Name,,,,Y
C213378,Adenocarcinoma in Colon Adenomatous Polyp,Adenocarcinoma in Colonic Adenomatous Polyp,SY,FULL_SYN,NCI,,,N
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,Adenocarcinoma in Rectal Adenomatous Polyp,NAME,Concept_Name,NCIt,,,Y
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,Adenocarcinoma in Rectal Adenomatous Polyp,PT,FULL_SYN,NCI,,,Y
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,Adenocarcinoma in Rectal Adenomatous Polyp,,Preferred_Name,,,,Y
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,Adenoma of Colon with Intramucosal Adenocarcinoma,SY,FULL_SYN,NCI,,,N
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,Adenoma of the Colon with Intramucosal Adenocarcinoma,NAME,Concept_Name,NCIt,,,Y
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,Adenoma of the Colon with Intramucosal Adenocarcinoma,PT,FULL_SYN,NCI,,,Y
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,Adenoma of the Colon with Intramucosal Adenocarcinoma,,Preferred_Name,,,,Y
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,Colonic Adenoma with Intramucosal Adenocarcinoma,SY,FULL_SYN,NCI,,,N
C162152,Advanced Colon Adenocarcinoma,Advanced Colon Adenocarcinoma,NAME,Concept_Name,NCIt,,,Y
C162152,Advanced Colon Adenocarcinoma,Advanced Colon Adenocarcinoma,DN,FULL_SYN,CTRP,,,N
C162152,Advanced Colon Adenocarcinoma,Advanced Colon Adenocarcinoma,PT,FULL_SYN,NCI,,,Y
C162152,Advanced Colon Adenocarcinoma,Advanced Colon Adenocarcinoma,,Display_Name,,,,Y
C162152,Advanced Colon Adenocarcinoma,Advanced Colon Adenocarcinoma,,Preferred_Name,,,,Y
C167238,Advanced Colon Carcinoma,Advanced Colon Carcinoma,NAME,Concept_Name,NCIt,,,Y
C167238,Advanced Colon Carcinoma,Advanced Colon Carcinoma,DN,FULL_SYN,CTRP,,,N
C167238,Advanced Colon Carcinoma,Advanced Colon Carcinoma,PT,FULL_SYN,NCI,,,Y
C167238,Advanced Colon Carcinoma,Advanced Colon Carcinoma,,Display_Name,,,,Y
C167238,Advanced Colon Carcinoma,Advanced Colon Carcinoma,,Preferred_Name,,,,Y
C166257,Advanced Colorectal Adenocarcinoma,Advanced Colorectal Adenocarcinoma,NAME,Concept_Name,NCIt,,,Y
C166257,Advanced Colorectal Adenocarcinoma,Advanced Colorectal Adenocarcinoma,DN,FULL_SYN,CTRP,,,N
C166257,Advanced Colorectal Adenocarcinoma,Advanced Colorectal Adenocarcinoma,PT,FULL_SYN,NCI,,,Y
C166257,Advanced Colorectal Adenocarcinoma,Advanced Colorectal Adenocarcinoma,,Display_Name,,,,Y
C166257,Advanced Colorectal Adenocarcinoma,Advanced Colorectal Adenocarcinoma,,Preferred_Name,,,,Y
C162475,Advanced Colorectal Carcinoma,Advanced Colorectal Carcinoma,NAME,Concept_Name,NCIt,,,Y
